Tickets,Category,Priority,Complaint_Group
Unreasonable Delay in Registration of Consumer Complaint by DCDRC Thane despite Complete Compliance,Administrative,P2 - Medium,Scrutiny Delay
No refund,Incident,P3 - Low,Complaint
Order not uploaded,Administrative,P1 - High,Update Info
Scrutiny Pending since 26 Dec 2025 - Case Ref. No. 202512030885,Administrative,P2 - Medium,Scrutiny Delay
Correct the profile name as Jatinder deep singh ahuja,Administrative,P3 - Low,Update Info
Scrutiny pending,Administrative,P2 - Medium,Scrutiny Delay
False refund confirmation by company for product under warranty,Incident,P3 - Low,Complaint
"Wrong Item Delivered – Amazon Blaming Me Despite Proof, No Resolution for ?21,499 Order",Incident,P3 - Low,Complaint
"Complaint Against Red.Health Ambulance Services for Gross Medical Negligence, Oxygen Failure, and Deficiency in Emergency Medical Services.",Information Only,P3 - Low,Complaint
Delay in e-Jagriti Case – Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Consumer Case Pending for Scrutiny – Request for Status Update,Administrative,P2 - Medium,Scrutiny Delay
Urgent: Case Pending for Scrutiny since 27 Nov 2025 (Filing No: 202511271403),Administrative,P2 - Medium,Scrutiny Delay
Credit card fraud transaction,Information Only,P3 - Low,Complaint
Side Effects of the Derma Company % Salicylic Acid Gel Face Wash.,Information Only,P3 - Low,Complaint
Consumer Complaint – Refund Delay & Deficiency in Service (Realme TV),Incident,P3 - Low,Complaint
HDFC FASTAG OVER CHARGE AND NOR REFUND,Incident,P2 - Medium,Complaint
No progress in complaint,Administrative,P2 - Medium,Scrutiny Delay
Reference no : 202510190032 -- pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
AO Smith under sink water purifier not working,Incident,P3 - Low,Complaint
Complainant again Blink It,Incident,P3 - Low,Complaint
Delay in allotment of case number - Application dated 20/12/2025,Administrative,P2 - Medium,Scrutiny Delay
Regarding email ID entry,Information Only,P3 - Low,Information
MEMO FOR WITHDRAWEL,Administrative,P2 - Medium,Administrative
Delay in uploading daily order.,Administrative,P2 - Medium,Upload / Document Issues
Information on Case Hearing Date,Administrative,P2 - Medium,Hearing / VC Requests
On line Flipkart company froud REDTAPE OZARK SHOE ORDER ID OD336427570092170100,Information Only,P3 - Low,Complaint
My name is not shown in cause list for NCDRC,Administrative,P1 - High,Update Info
Requesting for scrutinising- reg,Administrative,P2 - Medium,Scrutiny Delay
Delay in Scrutiny - Filing Ref. No. 202512260071,Administrative,P2 - Medium,Scrutiny Delay
NOT ABLE TO VIEW CASE DOCUMENTS,Information Only,P3 - Low,Information
Refund not received,Incident,P1 - High,Complaint
Delay in Case Status Update and Invoice Submission – Complaint filed on 17 December 2025,Administrative,P2 - Medium,Scrutiny Delay
Case pending for scrutiny since 4 months,Administrative,P2 - Medium,Scrutiny Delay
Request for Early Scrutiny and Admission of Complaint,Administrative,P2 - Medium,Scrutiny Delay
